epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,34.9869,1.55991,3.34897,1.58911,0.05123,0.8122,0.07022,0.03886,1.01523,3.12254,1.21533,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014
2,70.2147,1.43886,3.33359,1.47235,0.05232,0.82439,0.07555,0.04474,0.96798,3.10073,1.16888,0.0008703,0.0002901,0.0008703,0.0002901,0.0008703,0.0002901,0.0008703,0.0002901
3,108.484,1.28609,3.29974,1.38279,0.05904,0.92683,0.11983,0.06516,0.93348,3.02093,1.10551,0.00128892,0.00042964,0.00128892,0.00042964,0.00128892,0.00042964,0.00128892,0.00042964
4,155.622,1.17462,3.17945,1.27962,0.06086,0.95854,0.18372,0.10599,0.90049,2.94636,1.05052,0.00167586,0.00055862,0.00167586,0.00055862,0.00167586,0.00055862,0.00167586,0.00055862
5,212.689,1.08976,2.93726,1.22896,0.0603,0.97561,0.23458,0.155,0.8738,2.87479,1.0195,0.00203112,0.00067704,0.00203112,0.00067704,0.00203112,0.00067704,0.00203112,0.00067704
6,268.151,1.0393,2.55575,1.18301,0.06014,0.98049,0.29471,0.2064,0.8793,2.76298,1.01882,0.0023547,0.0007849,0.0023547,0.0007849,0.0023547,0.0007849,0.0023547,0.0007849
7,312.639,1.05286,2.14974,1.1739,0.05991,0.98049,0.43517,0.30429,0.90581,2.61473,1.04057,0.0026466,0.0008822,0.0026466,0.0008822,0.0026466,0.0008822,0.0026466,0.0008822
8,359.5,1.03912,1.8191,1.17142,0.9504,0.14022,0.57058,0.39472,0.93252,2.44408,1.06761,0.00290682,0.00096894,0.00290682,0.00096894,0.00290682,0.00096894,0.00290682,0.00096894
9,402.737,1.0537,1.52275,1.17173,0.938,0.29512,0.7766,0.54434,0.96164,2.21577,1.09336,0.00313536,0.00104512,0.00313536,0.00104512,0.00313536,0.00104512,0.00313536,0.00104512
10,444.379,1.04389,1.26539,1.1582,0.95569,0.57869,0.86547,0.61036,0.99432,1.9715,1.12145,0.00333222,0.00111074,0.00333222,0.00111074,0.00333222,0.00111074,0.00333222,0.00111074
11,487.256,1.03152,1.06536,1.17367,0.92479,0.71982,0.89471,0.62906,1.03429,1.712,1.15402,0.0034974,0.0011658,0.0034974,0.0011658,0.0034974,0.0011658,0.0034974,0.0011658
12,528.512,1.0294,0.93788,1.18329,0.8943,0.83902,0.91817,0.65359,1.0311,1.35812,1.15869,0.0036309,0.0012103,0.0036309,0.0012103,0.0036309,0.0012103,0.0036309,0.0012103
13,570.84,0.98892,0.85993,1.15258,0.88051,0.88293,0.93474,0.67578,1.00229,1.02837,1.1474,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,613.841,0.98435,0.83988,1.1555,0.85279,0.89756,0.92727,0.66475,1.01064,0.90571,1.172,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,655.593,0.94933,0.79281,1.14771,0.83955,0.90611,0.92973,0.67048,0.99127,0.84718,1.15908,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,698.238,0.93352,0.78683,1.13273,0.86585,0.88049,0.9276,0.67285,0.98383,0.85689,1.15217,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,737.292,0.94611,0.76865,1.13209,0.86253,0.9,0.93325,0.6888,0.94146,0.84173,1.12816,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,776.098,0.9282,0.75771,1.11666,0.8857,0.90722,0.94419,0.7005,0.94882,0.80992,1.1287,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,816.696,0.90758,0.73568,1.08522,0.89308,0.90732,0.94847,0.70281,0.94968,0.77891,1.12342,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,857.092,0.90032,0.72386,1.08187,0.89405,0.90563,0.95077,0.71269,0.93009,0.75492,1.10516,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,896.669,0.88773,0.88263,1.08781,0.89393,0.9122,0.9498,0.69635,0.95761,0.77253,1.10934,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,933.936,0.85756,0.77106,1.06693,0.87497,0.92166,0.93827,0.69506,0.9374,0.84342,1.09841,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,974.348,0.85892,0.74071,1.06463,0.86111,0.9073,0.93311,0.69187,0.93593,0.9148,1.09271,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,1023.14,0.82064,0.69381,1.03058,0.88731,0.92182,0.93986,0.69851,0.92401,0.85273,1.08499,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,1071.65,0.8342,0.69938,1.0341,0.90063,0.90635,0.94571,0.70284,0.91737,0.78697,1.09107,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,1116.4,0.8244,0.67723,1.02376,0.91498,0.91866,0.9512,0.7093,0.92305,0.74108,1.1047,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,1160.98,0.81357,0.66629,1.02315,0.91123,0.92632,0.95149,0.70722,0.91828,0.73002,1.10672,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,1203.8,0.80137,0.65774,1.01886,0.91118,0.92577,0.95136,0.70792,0.92017,0.72537,1.10932,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,1247.48,0.81369,0.65345,1.02399,0.91712,0.92683,0.95197,0.70964,0.91798,0.72299,1.1097,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,1288.95,0.80938,0.65809,1.02594,0.91408,0.92683,0.95281,0.71062,0.91652,0.71957,1.10761,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
